title,platform,score,genre,release_year,release_month
Mortal Kombat Legends: Battle of the Realms,On-Demand,5,Action,2021,8
Aliens: Fireteam,Xbox Series X|S,7,PlayStation 4,2023,4
Aliens: Fireteam,PlayStation 4,7,PlayStation 4,2023,4
Aliens: Fireteam,PC,7,PlayStation 4,2023,4
Hoa,PlayStation 4,7,Puzzle,2021,8
Hoa,Macintosh,7,Puzzle,2021,8
Hoa,Xbox One,7,Puzzle,2021,8
Hoa,Nintendo Switch,7,Puzzle,2021,8
Hoa,PC,7,Puzzle,2021,8
Psychonauts 2,PlayStation 4,8,Adventure,2021,8
Psychonauts 2,Macintosh,8,Adventure,2021,8
Psychonauts 2,Linux,8,Adventure,2021,8
Psychonauts 2,PC,8,Adventure,2021,8
Psychonauts 2,Xbox One,8,Adventure,2021,8
Madden 22,PlayStation 5,6,Sports,2021,8
Ghost of Tsushima: Director's Cut,PlayStation 4,8,Action,2024,5
Ghost of Tsushima: Director's Cut,PC,8,Action,2024,5
Recompile,Xbox Series X|S,6,Action,2021,8
Recompile,PC,6,Action,2021,8
12 Minutes,PC,8,Adventure,2021,12
12 Minutes,Xbox One,8,Adventure,2021,12
12 Minutes,Nintendo Switch,8,Adventure,2021,12
12 Minutes,PlayStation 4,8,Adventure,2021,12
Humankind,PlayStation 5,7,SEGA,2023,8
Humankind,PlayStation 4,7,SEGA,2023,8
Humankind,Xbox One,7,SEGA,2023,8
Road 96,PC,8,Adventure,2022,4
Road 96,Xbox One,8,Adventure,2022,4
Road 96,PlayStation 4,8,Adventure,2022,4
Axiom Verge 2,PlayStation 4,7,Action,2023,7
Axiom Verge 2,PC,7,Action,2023,7
Axiom Verge 2,Xbox One,7,Action,2023,7
Assassin's Creed Valhalla,PlayStation 4,6,Ubisoft,2021,8
Assassin's Creed Valhalla,Xbox One,6,Ubisoft,2021,8
Grime,PC,9,Action,2024,1
Grime,Xbox One,9,Action,2024,1
Grime,Xbox Series X|S,9,Action,2024,1
Grime,PlayStation 4,9,Action,2024,1
Tribes of Midgard,PlayStation 4,7,Action,2022,8
Tribes of Midgard,PC,7,Action,2022,8
Tribes of Midgard,Xbox One,7,Action,2022,8
Pokemon Unite,Android,6,iPhone,2021,9
Eldest Souls,Xbox Series X|S,8,Action,2021,7
Eldest Souls,PC,8,Action,2021,7
Eldest Souls,PlayStation 4,8,Action,2021,7
Eldest Souls,Xbox One,8,Action,2021,7
The Ascent,Xbox One,7,Sci-Fi,2022,3
The Ascent,PlayStation 4,7,Sci-Fi,2022,3
Observer: System Redux,PC,8,Adventure,2021,7
Observer: System Redux,Luna,8,Adventure,2021,7
Observer: System Redux,Xbox One,8,Adventure,2021,7
Observer: System Redux,PlayStation 4,8,Adventure,2021,7
The Forgotten City,PC,9,Adventure,2021,9
The Forgotten City,PlayStation 4,9,Adventure,2021,9
The Forgotten City,Xbox One,9,Adventure,2021,9
Samurai Warriors 5,PC,7,Action,2022,6
Samurai Warriors 5,PlayStation 4,7,Action,2022,6
Samurai Warriors 5,Xbox One,7,Action,2022,6
Neo: The World Ends with You,PlayStation 4,7,Action,2021,9
Neo: The World Ends with You,PC,7,Action,2021,9
Cris Tales,PlayStation 4,7,RPG,2021,7
Cris Tales,Xbox Series X|S,7,RPG,2021,7
Cris Tales,PC,7,RPG,2021,7
Cris Tales,Xbox One,7,RPG,2021,7
Cris Tales,Nintendo Switch,7,RPG,2021,7
Last Stop,PC,6,Adventure,2021,7
Last Stop,PlayStation 4,6,Adventure,2021,7
Last Stop,Xbox One,6,Adventure,2021,7
Last Stop,Xbox Series X|S,6,Adventure,2021,7
Death's Door,Xbox One,9,Action,2021,11
Death's Door,PC,9,Action,2021,11
